post_time,post_id,user_id,poster_id,status_type,message,link_url,link_name,link_caption,link_description,parent_post_id,update_time,reaction_none,reaction_like,reaction_love,reaction_wow,reaction_haha,reaction_sad,reaction_angry,reaction_thankful,reaction_pride,entry_time,MessageType,obj_id,User
5/9/2018 15:46,000062c103eeddb29005975db731120a,1.92812E+15,1.92812E+15,mobile_status_update,Olivia Leigh Vanderhoof OMG LOOKIT HOW THEY ARE IM DYEN HERE,https://www.facebook.com/HetaliaBullshit/photos/a.931749756883134.1073741828.931744543550322/1049472288444213/?type=3,Hetalia Bullshit,,(Artist: え む <NL>ID Member: 9517926 [Pixiv] ) <NL>//i am literally crying omfg i tried. for an hour. searching so many rome pictures with romano in it and shit man but no only feli else it would be both and-... and i can't man it's so sad man and i am tired qwq //<NL>- and then he left me havingshit load of fun with that annoying brat and just like only was with me if feli was there too never only me i am just selfish and shit man i-i can't that-. that ld man i hate him just like i hate mah self<CM> vaffanculooo i can't ok man i can't man *sniffles* i missit an di am just annoying bastardo~ ~lovino & Amdin Aoija (both sleepy as shit and idek anymore ),28f85d6875fee3084c0defda863e0bd9,3/12/2016 8:54,0,1,0,0,0,0,0,0,0,7/27/2017 0:45,post,1.04947E+15,1
5/9/2018 15:41,00011314918d2d04a460f418ef6a079b,1.48007E+15,1.48007E+15,mobile_status_update,Cause I went to bed on top of the world<NL>Today the worlds on top of me,,,,,d41d8cd98f00b204e9800998ecf8427e,3/6/2017 18:23,0,4,0,0,0,0,0,0,0,10/14/2017 13:24,post,-1,0
5/9/2018 15:41,0006ab7afec915dfc9725361d8f7150c,4.89391E+14,4.89391E+14,mobile_status_update,-Кого ты любишь?<NL>-Маму<CM> зелёный чай<CM> цветы<CM> конфеты<CM> высокие каблуки<CM>яркие помады...<NL>-А как же он?<NL>-А без него я жить не могу!😃😃😃,,,,,d41d8cd98f00b204e9800998ecf8427e,7/23/2017 21:58,0,2,0,0,0,0,0,0,0,7/27/2017 9:29,post,-1,0
5/9/2018 15:41,000971478e54df612a73428bc64b53d2,1.4505E+15,1.4505E+15,mobile_status_update,My phones Damn near more Of An Asshole then i am😂😂😂😂.Shit been threw hell.  And Still came back after the fire And Bremstone.,,,,,d41d8cd98f00b204e9800998ecf8427e,11/27/2016 0:46,0,5,0,0,2,0,0,0,0,11/28/2017 0:05,post,-1,1
5/9/2018 15:41,000d3d50eef8787c0e4673d3bfe3f855,5.96664E+14,5.96664E+14,added_photos,✨idfc💎,https://www.facebook.com/photo.php?fbid=608611939526324&set=a.160933057627550.1073741826.100011325715359&type=3,,,,d41d8cd98f00b204e9800998ecf8427e,8/27/2017 18:19,0,25,2,0,0,0,0,0,0,9/28/2017 0:04,post,6.08612E+14,1
5/9/2018 15:46,001375924c396dea483b4a0a8f70f6ab,2.01402E+15,2.01402E+15,mobile_status_update,I need this in my life,https://www.facebook.com/StarWarsFansOnline/photos/a.459926717466630.1073741828.459924370800198/1091289597663669/?type=3,Star Wars Fans,,STAR WARS YODA BACKPACK ON SALE!<NL>Get yours today here ➡ http://goo.gl/IXCCwW,ea41b743e311202827344901c9a81e95,1/15/2017 9:03,0,0,0,0,0,0,0,0,0,7/26/2017 0:14,post,1.09129E+15,1
5/9/2018 15:41,0014e28a3624f86fc768d1a3f373270a,1.02081E+16,1.55377E+15,shared_story,NEW SINGLE!! FUCK YA HATERS!! AHHAHAHAHAHAAA! PRESS PLAY!,https://youtu.be/NYzHia71e3Q,Local Business,youtube.com,http://c-4music1.bandcamp.com/album/ixxi Listen to IXXI by C-4 #np on #SoundCloud https://soundcloud.com/user-55604195/sets/ixxi,d41d8cd98f00b204e9800998ecf8427e,9/15/2017 10:59,0,9,0,0,0,0,0,0,0,1/23/2018 0:00,post,-1,0
5/9/2018 15:41,001b1ee2b23b2cf3d2dac14cdf632afc,8.78704E+14,8.78704E+14,mobile_status_update,Yump,https://www.facebook.com/AlaskanHashQueen/photos/a.247355382344786.1073741828.247284352351889/247308255682832/?type=3,Alaskan Hash Queen,,SHOUT OUT,d0cde955cdc005c0bed2a061b1102e29,12/23/2016 23:50,0,2,2,0,0,0,0,0,0,8/3/2017 12:00,post,2.47308E+14,0
5/9/2018 15:41,001b2667a5f5020466eb440e101dd615,1.48007E+15,1.48007E+15,mobile_status_update,I need more form SamSmith 🎶🎶,,,,,d41d8cd98f00b204e9800998ecf8427e,4/2/2017 10:58,0,6,0,0,0,0,0,0,0,10/14/2017 13:23,post,-1,1
5/9/2018 15:41,001b81ead9d441c8fb6932a8c5db6e74,1.02122E+16,1.02122E+16,mobile_status_update,I'll still take ya head off for em YA DIG🤙🏾,https://www.facebook.com/photo.php?fbid=10206629209582061&set=a.1883533881207.2100662.1027144374&type=3,Joseph,,At the end of the day... Who looks older? 😂😂,b06f945e38bdaee57e7b08e89fb28e85,12/26/2016 11:11,0,1,0,0,0,0,0,0,0,11/30/2017 0:27,post,1.02066E+16,1
5/9/2018 15:41,001c7b32b054c33fa60fd79d6afb3800,1.82444E+15,1.82444E+15,mobile_status_update,Lmfao!!!!,https://www.facebook.com/Revorty/photos/a.735840959854219.1073741829.442296835875301/1017804938324485/?type=3,Revorty,,,faa8e5059b1e5bb4b1cfbc671259a62e,1/2/2017 18:20,0,4,0,0,0,0,0,0,0,8/3/2017 20:11,post,1.0178E+15,1
5/9/2018 15:41,00208d7eb5372ed054ead6966e6a1c67,1.62703E+15,1.62703E+15,mobile_status_update,When I look in the mirror or catch my reflection. Aye. 👑👏,,,,,d41d8cd98f00b204e9800998ecf8427e,6/14/2017 23:39,0,1,0,0,3,0,0,0,0,3/28/2018 9:41,post,-1,0
5/9/2018 15:41,0021990fc498366b200ebf9396898f0c,1.27186E+15,1.27186E+15,mobile_status_update,Can't know what real is till you ask real,,,,,d41d8cd98f00b204e9800998ecf8427e,3/9/2017 15:18,0,4,0,0,0,0,0,0,0,8/16/2017 0:05,post,-1,0
5/9/2018 15:41,00219e9183f5793326c69004291dee37,1.02076E+16,1.02076E+16,added_photos,Alex Mateos 😂,https://www.facebook.com/photo.php?fbid=10206820450668826&set=a.1768205303922.68689.1802901241&type=3,,,,d41d8cd98f00b204e9800998ecf8427e,5/8/2017 16:30,0,3,2,0,1,0,0,0,0,11/2/2017 0:06,post,1.02068E+16,0
5/9/2018 15:41,0026a0cd21750a40744663b663fc3319,3.36244E+14,3.36244E+14,added_photos,Seeing you today made my whole life a lot better<NL>#Andre😍😍😍😘😘😘😘,https://www.facebook.com/photo.php?fbid=313901009033686&set=a.119953588428430.1073741828.100012413675573&type=3,Photos from Brittney Jones's post,,,d41d8cd98f00b204e9800998ecf8427e,6/8/2017 20:34,0,10,10,0,0,0,0,0,0,8/3/2017 11:26,post,3.13901E+14,0
