Number of Topics,Coherence,Perpelxity
5,0.31599095071183964,-8.13309385616325
6,0.30304863956670003,-8.14790437902886
7,0.37380741673817225,-8.119172462900545
8,0.36780082741125375,-8.074355176390375
9,0.41664464633388143,-8.088877141291382
10,0.36886470775900254,-8.155823904496023
11,0.3913476561544224,-8.287715252056355
12,0.422479716695757,-8.400409198497481
13,0.43920919840900796,-8.69749696241333
14,0.39252356358798085,-8.728360968952758
15,0.42093779617378435,-8.888243541716022
16,0.4091130677426664,-8.970788357219648
17,0.4231817088014834,-9.169616861871692
18,0.42586567756845717,-9.3123692193825
19,0.4922503450167845,-9.425967097969384
20,0.42604419874145866,-9.605349869459188
21,0.3496382259687807,-9.815176973864265
22,0.4245149776212797,-9.955746534899696
23,0.4259451277398265,-10.162762832225766
24,0.4665244752114432,-10.286198498612434
