,auc,accuracy
0,0.47115384615384615,0.48214285714285715
1,0.47115384615384615,0.48214285714285715
2,0.47115384615384615,0.48214285714285715
3,0.47115384615384615,0.48214285714285715
4,0.47115384615384615,0.48214285714285715
5,0.47115384615384615,0.48214285714285715
6,0.47115384615384615,0.48214285714285715
7,0.47115384615384615,0.48214285714285715
8,0.47115384615384615,0.48214285714285715
9,0.47115384615384615,0.48214285714285715
10,0.47115384615384615,0.48214285714285715
11,0.47115384615384615,0.48214285714285715
12,0.47115384615384615,0.48214285714285715
13,0.47115384615384615,0.48214285714285715
14,0.47115384615384615,0.48214285714285715
15,0.47115384615384615,0.48214285714285715
16,0.47115384615384615,0.48214285714285715
17,0.47115384615384615,0.48214285714285715
18,0.47115384615384615,0.48214285714285715
19,0.47115384615384615,0.48214285714285715
